Trace1,
Freq,,Amp,,
          2860333223,Hz,               -6.94, dBm,
          2860666556,Hz,               -6.94, dBm,
          2860999889,Hz,               -6.93, dBm,
          2861333222,Hz,               -6.93, dBm,
          2861666555,Hz,               -6.92, dBm,
          2861999888,Hz,               -6.92, dBm,
          2862333221,Hz,               -6.92, dBm,
          2862666554,Hz,               -6.91, dBm,
          2862999887,Hz,               -6.91, dBm,
          2863333220,Hz,               -6.90, dBm,
          2863666553,Hz,               -6.90, dBm,
          2863999886,Hz,               -6.89, dBm,
          2864333219,Hz,               -6.89, dBm,
          2864666552,Hz,               -6.88, dBm,
          2864999885,Hz,               -6.89, dBm,
          2865333218,Hz,               -6.88, dBm,
          2865666551,Hz,               -6.88, dBm,
          2865999884,Hz,               -6.88, dBm,
          2866333217,Hz,               -6.88, dBm,
          2866666550,Hz,               -6.87, dBm,
          2866999883,Hz,               -6.87, dBm,
          2867333216,Hz,               -6.87, dBm,
          2867666549,Hz,               -6.85, dBm,
          2867999882,Hz,               -6.86, dBm,
          2868333215,Hz,               -6.86, dBm,
          2868666548,Hz,               -6.85, dBm,
          2868999881,Hz,               -6.86, dBm,
          2869333214,Hz,               -6.85, dBm,
          2869666547,Hz,               -6.84, dBm,
          2869999880,Hz,               -6.85, dBm,
          2870333213,Hz,               -6.85, dBm,
          2870666546,Hz,               -6.84, dBm,
          2870999879,Hz,               -6.84, dBm,
          2871333212,Hz,               -6.84, dBm,
          2871666545,Hz,               -6.84, dBm,
          2871999878,Hz,               -6.84, dBm,
          2872333211,Hz,               -6.84, dBm,
          2872666544,Hz,               -6.84, dBm,
          2872999877,Hz,               -6.84, dBm,
          2873333210,Hz,               -6.84, dBm,
          2873666543,Hz,               -6.84, dBm,
          2873999876,Hz,               -6.84, dBm,
          2874333209,Hz,               -6.83, dBm,
          2874666542,Hz,               -6.82, dBm,
          2874999875,Hz,               -6.84, dBm,
          2875333208,Hz,               -6.83, dBm,
          2875666541,Hz,               -6.83, dBm,
          2875999874,Hz,               -6.83, dBm,
          2876333207,Hz,               -6.82, dBm,
          2876666540,Hz,               -6.82, dBm,
          2876999873,Hz,               -6.83, dBm,
          2877333206,Hz,               -6.83, dBm,
          2877666539,Hz,               -6.83, dBm,
          2877999872,Hz,               -6.82, dBm,
          2878333205,Hz,               -6.83, dBm,
          2878666538,Hz,               -6.83, dBm,
          2878999871,Hz,               -6.83, dBm,
          2879333204,Hz,               -6.83, dBm,
          2879666537,Hz,               -6.82, dBm,
          2879999870,Hz,               -6.82, dBm,
          2880333203,Hz,               -6.82, dBm,
          2880666536,Hz,               -6.82, dBm,
          2880999869,Hz,               -6.82, dBm,
          2881333202,Hz,               -6.82, dBm,
          2881666535,Hz,               -6.82, dBm,
          2881999868,Hz,               -6.82, dBm,
          2882333201,Hz,               -6.82, dBm,
          2882666534,Hz,               -6.82, dBm,
          2882999867,Hz,               -6.82, dBm,
          2883333200,Hz,               -6.82, dBm,
          2883666533,Hz,               -6.82, dBm,
          2883999866,Hz,               -6.82, dBm,
          2884333199,Hz,               -6.82, dBm,
          2884666532,Hz,               -6.82, dBm,
          2884999865,Hz,               -6.82, dBm,
          2885333198,Hz,               -6.81, dBm,
          2885666531,Hz,               -6.82, dBm,
          2885999864,Hz,               -6.82, dBm,
          2886333197,Hz,               -6.82, dBm,
          2886666530,Hz,               -6.82, dBm,
          2886999863,Hz,               -6.83, dBm,
          2887333196,Hz,               -6.82, dBm,
          2887666529,Hz,               -6.83, dBm,
          2887999862,Hz,               -6.82, dBm,
          2888333195,Hz,               -6.82, dBm,
          2888666528,Hz,               -6.82, dBm,
          2888999861,Hz,               -6.83, dBm,
          2889333194,Hz,               -6.83, dBm,
          2889666527,Hz,               -6.83, dBm,
          2889999860,Hz,               -6.84, dBm,
          2890333193,Hz,               -6.83, dBm,
          2890666526,Hz,               -6.83, dBm,
          2890999859,Hz,               -6.84, dBm,
          2891333192,Hz,               -6.84, dBm,
          2891666525,Hz,               -6.84, dBm,
          2891999858,Hz,               -6.85, dBm,
          2892333191,Hz,               -6.85, dBm,
          2892666524,Hz,               -6.86, dBm,
          2892999857,Hz,               -6.85, dBm,
          2893333190,Hz,               -6.86, dBm,
          2893666523,Hz,               -6.85, dBm,
          2893999856,Hz,               -6.87, dBm,
          2894333189,Hz,               -6.87, dBm,
          2894666522,Hz,               -6.88, dBm,
